name,address,city,postal_code,state,phone,website,email,price_range,service_area,business_size,years_in_business,services,description,specializations,rating,reviews_count,certifications,kfw_eligible,source,additional_info,project_types
BauMeister GmbH,Hauptstraße 45,Frankfurt,10115,Hesse,+49 30 12345678,https://www.baummeister-berlin.de,info@baummeister-berlin.de,"€50,000 - €200,000","Berlin, Brandenburg",Medium,15,"Renovation, Kitchen Installation, Bathroom Remodeling, Electrical Work, Plumbing",Professional renovation services with 15 years of experience in Berlin. Specialized in energy-efficient renovations and KfW-eligible projects.,"Energy-efficient renovations, KfW funding, Historic building renovations",4.8,127,"DIN EN ISO 9001, Energy Consultant Certification",true,Website,Member of Berlin Chamber of Commerce. Offers free consultations.,"kitchen,bathroom,renovation,electrical,plumbing"
Sanitär & Heizung Schmidt,Industriestraße 12,Frankfurt,80331,Hesse,+49 89 98765432,https://www.schmidt-sanitaer.de,kontakt@schmidt-sanitaer.de,"€20,000 - €100,000","Munich, Upper Bavaria",Small,8,"Bathroom Renovation, Heating Installation, Plumbing, Water Damage Repair",Family-owned plumbing and heating business serving Munich area. Known for reliable service and fair pricing.,"Bathroom renovations, Heat pump installation, Water damage restoration",4.6,89,"Master Craftsman License, Heating Installer Certification",true,Local Directory,Emergency service available 24/7.,"bathroom,plumbing,heating"
Küchen-Experte Müller,Gewerbestraße 8,Frankfurt,20095,Hesse,+49 40 55512345,https://www.kuechen-experte-hamburg.de,info@kuechen-experte-hamburg.de,"€15,000 - €80,000","Hamburg, Schleswig-Holstein",Medium,12,"Kitchen Planning, Kitchen Installation, Cabinet Making, Appliance Installation",Specialized kitchen renovation company with showroom in Hamburg. Offers complete kitchen solutions from planning to installation.,"Custom kitchen design, High-end appliances, Space optimization",4.7,156,"Kitchen Designer Certification, TÜV Quality Seal",false,Showroom,Free kitchen planning consultation. 3D visualization available.,kitchen
Elektro-Service Weber,Am Markt 22,Frankfurt,50667,Hesse,+49 221 77788899,https://www.elektro-weber-koeln.de,service@elektro-weber-koeln.de,"€5,000 - €50,000","Cologne, Düsseldorf, Bonn",Small,6,"Electrical Installation, Smart Home Systems, EV Charging Stations, Electrical Safety Inspections",Modern electrical services with focus on smart home technology and renewable energy integration.,"Smart home automation, EV charging, Solar panel wiring",4.5,73,"Master Electrician License, Smart Home Specialist",true,Online Search,Certified for EV charging station installation.,"electrical,smart-home"
Renovierungsprofi Hoffmann,Dorfstraße 33,Frankfurt,60311,Hesse,+49 69 44455566,https://www.renovierungsprofi-frankfurt.de,info@renovierungsprofi-frankfurt.de,"€30,000 - €150,000","Frankfurt, Rhine-Main Area",Large,20,"Complete Renovations, Historic Building Restoration, Energy Modernization, Facade Renovation",Full-service renovation company with extensive experience in historic building preservation and energy-efficient modernization.,"Historic preservation, Energy modernization, Facade renovation, KfW programs",4.9,234,"Historic Building Specialist, Energy Consultant, DIN EN ISO 9001",true,Referral,Winner of Frankfurt Renovation Award 2022.,"renovation,historic-preservation,energy-modernization"
Fliesen & Naturstein Braun,Handwerkerweg 5,Frankfurt,70173,Hesse,+49 711 33344455,https://www.fliesen-braun-stuttgart.de,info@fliesen-braun.de,"€10,000 - €60,000","Stuttgart, Tübingen",Small,10,"Tile Installation, Natural Stone Work, Bathroom Tiling, Floor Tiling",Specialized tile and natural stone contractor. Known for precision work and attention to detail.,"Bathroom tiling, Natural stone floors, Mosaic work, Underfloor heating installation",4.6,98,"Master Tiler License, Natural Stone Specialist",false,Local Advertisement,Showroom with tile samples. Free estimates.,"bathroom,tiling"
Holzbau & Tischlerei Fischer,Waldstraße 18,Frankfurt,01067,Hesse,+49 351 22233344,https://www.holzbau-fischer-dresden.de,werkstatt@holzbau-fischer.de,"€8,000 - €40,000","Dresden, Leipzig",Small,7,"Custom Carpentry, Wooden Windows, Doors, Stairs, Built-in Furniture",Traditional carpentry with modern techniques. Specializes in custom wooden elements and energy-efficient windows.,"Custom windows, Wooden stairs, Built-in furniture, Energy-efficient windows",4.4,56,"Master Carpenter License, Window Installer Certification",true,Word of Mouth,Workshop on-site. Custom designs available.,"carpentry,windows,doors"
Malerbetrieb Schneider,Farbenstraße 7,Frankfurt,90402,Hesse,+49 911 66677788,https://www.maler-schneider-nuernberg.de,maler@schneider-nbg.de,"€3,000 - €25,000","Nuremberg, Fürth, Erlangen",Small,5,"Interior Painting, Exterior Painting, Wallpaper Installation, Plastering",Professional painting service for interior and exterior work. Uses eco-friendly paints.,"Interior painting, Exterior facade painting, Decorative finishes, Eco-friendly paints",4.3,42,"Master Painter License, Eco-Paint Certification",false,Local Business Directory,Free color consultation.,"painting,plastering"
Bodenbeläge & Parkett Wagner,Fußbodenstraße 14,Frankfurt,40210,Hesse,+49 211 88899900,https://www.parkett-wagner-duesseldorf.de,info@parkett-wagner.de,"€6,000 - €35,000","Düsseldorf, Essen, Duisburg",Medium,11,"Parquet Installation, Laminate Flooring, Vinyl Flooring, Floor Sanding",Specialized flooring contractor with expertise in all types of floor coverings.,"Parquet restoration, Laminate installation, Underfloor heating compatible floors",4.5,67,Flooring Specialist Certification,false,Showroom Visit,Showroom with floor samples. Free home consultation.,flooring
Garten & Landschaftsbau Klein,Grünstraße 25,Frankfurt,30159,Hesse,+49 511 11122233,https://www.gaertner-klein-hannover.de,garten@klein-hannover.de,"€5,000 - €30,000","Hannover, Braunschweig",Small,9,"Garden Design, Patio Construction, Fence Installation, Garden Maintenance",Landscape design and construction for residential properties.,"Garden design, Patio paving, Fence construction, Irrigation systems",4.4,51,Landscape Architect License,false,Garden Center Referral,Seasonal garden maintenance contracts available.,"landscaping,outdoor"
